dan,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,,,13,,,14,,,15,,,16,,,17,,,18,,,19,,,20,,,21,,,22,,,23,,,24,,,25,,,26,,,27,,,28,,,29,,,30,,,,,,plac za formule inu ostalo
,jutro,večer,NHTD,jutro,večer,NHTD,jutro,večer,NHTD,jutro,večer,NHTD,jutro,večer,NHTD,jutro,večer,NHTD,jutro,večer,NHTD,jutro,večer,NHTD,jutro,večer,NHTD,jutro,večer,NHTD,jutro,večer,NHTD,jutro,večer,NHTD,jutro,večer,NHTD,jutro,večer,NHTD,jutro,večer,NHTD,jutro,večer,NHTD,jutro,večer,NHTD,jutro,večer,NHTD,jutro,večer,NHTD,jutro,večer,NHTD,jutro,večer,NHTD,jutro,večer,NHTD,jutro,večer,NHTD,jutro,večer,NHTD,jutro,večer,NHTD,jutro,večer,NHTD,jutro,večer,NHTD,jutro,večer,NHTD,jutro,večer,NHTD,jutro,večer,NHTD,,,,sum,average,max
Swizec
dodatne info,ha! prvi se spomnu izpolnit,very much maths,,,,,,moar maths!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tired od longboarda, pocutim se ko da bi mel sportanje dan",,,,,early early,,,,,,,,,,,,,meh dnevi
horny level

"1 ne horny spljoh, tud pogovor v to smer me ne gane",,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,1,1,,,,1,1,1,,1
"2 ne horny, pogovor v to smer zadevo spremeni na horny",1,,,,,,,1,,1,,,1,1,1,,1,,,,,,,,1,1,,1,1,,,,,,,,1,,,,1,,,1,1,1,1,,,,,1,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,1
"3 malenkost horny, misli na sex se same pojavljajo",,,1,,,,1,,1,,1,1,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,1,,,,,1,1,,,,1,,1,1,,,,1,,1,,,1,,,,,,1,1,1,,1,,,1,,1,,1,1,1
"4 horny, misli na seks praktično ves čas",,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,1,1,,1,,,,,,1
"5 needy horny, treba met alone time",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,1,1,1,,1
"6 zelo horny, treba met več alone tima",,,,,,1
"7 FUCK ME, PLEASE FUCK ME!!!! Masturbation only makes it worse!!!!!!!!1"
cybered,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,1
no. of touchy happy times,,1,,,,,,,,,1,,,0,,,1,,,1,,,,,,,,,1,,,,,,,,,0,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,22,1,1
glorious sex,,0,,,1? 2?,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,2,,,,,28,1,1
oral for Swizec,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,1
,,pogovori o bombazu ... ,,,,,,,,,,,,,,,,,,it wanted to be touched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a touchy tud ;) mmm,,,,,,iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii a to si hotu d vidm,,opa,skripta...
,,iiiiiiiiiii XD,,,,,,,,,,,,,,,,,,po žensko napisano :P,,,,,,,,,morje,,,morje,,,morje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,treba blo zjutri *blush*,,,,,,ne sam hotu sm da izpolnes ker me firbec matra :D,,"pfft-kaj --- nc, ni se tooook hudo-bo pa' ... eventually-yay :* -- *griz*-podru si širino ... pr men pa ne, razn ce misles visino--da to",bo skripta cez vikend padla pomoje-wiiiiii
Maša
dodatne info,ha! sleep!,,,,,,,mjav dan,,bad mood pa fax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,za sprostitev in lahko noč,,,,,M,,,au,,,pozna se že,,,,,,,"khem, hm, ...true blood..."
horny level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M? oh ... The M!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lol
"ne horny spljoh, tud pogovor v to smer me ne gane",,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1
"ne horny, pogovor v to smer zadevo spremeni na horny",,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,1,,,,1,1,,,,,1
"malenkost horny, misli na sex se same pojavljajo",1,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,1,1,,,,,,,1,,,,1,1,,1,1,,,,1,1,1,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,1,,1,1,1
"horny, misli na seks praktično ves čas",,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,1,,,,,1,,1,,,1,,,,1,,1,1,1,,1,1,,,,,,,,1
"needy horny, treba met alone time",,,1,,1,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,1,,1,,,,,,,,,1,,,,1,,1
"zelo horny, treba met več alone tima",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,1,1
"FUCK ME, PLEASE FUCK ME!!!! Masturbation only makes it worse!!!!!!!!1"
cybered,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,1
no. of touchy happy times,,3,,,,,,,,,0,,,3,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,,,3,,,1,,,,,,,,,,,,2,,,,,,,,,,,11,1,1
glorious sex,,0,,,1? 2?,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,2,,,,,23,1,1
oral for Maša,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,1
,,,,,,,,,,,,,,gledanje true blood bi znal bit pomemben podatek,,,,,,,,,,,,,,,,,,,,,,,,kuštravček,,bad day,kuštravček,,,study study time,,,,,,,,,,,,,,,,,,"wow, zakaj nikol tacga navdusenja kadar skup gledava?",,,,,,moar sex pls,,,,,,,,,,,,,,,,,,,,,yay
,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,??,,,??,,,also dieta pa sm mal meh,,,,,,,,,,,,,,,,,,cmon ni blo tok,,,,,,soon very very soon
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ja ti ane,,,,,,,,,,,,,,,,,,,,,ker takrt ne morem in tebe napadem
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sej, k me ne :D"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ja pa te!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ne tok, ker hoces gledat naprej in vse vidt :P"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pa pol seksava no :D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,to tut ce karkol drucga gledava
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ja no, kaj se prtožuješ"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mogoce pa hocem da me kdaj prov napades (angel)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,awwww *si zapiše na listek*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:P
